name,team,nation,postion,age,mp,starts,min,gls,ast,pk,crdy,crdr,xg,xag
Gabriel Dos Santos,Arsenal,br BRA,DF,24,14,14,1260,2,0,0,2,0,2.3,0.2
Aaron Ramsdale,Arsenal,eng ENG,GK,24,14,14,1260,0,0,0,0,0,0,0
William Saliba,Arsenal,fr FRA,DF,21,14,14,1245,2,1,0,4,0,0.3,0.9
Gabriel Jesus,Arsenal,br BRA,FW,25,14,14,1219,5,5,0,4,0,7.7,2.8
Martinelli,Arsenal,br BRA,FW,21,14,14,1181,5,2,0,1,0,3,3.3
Bukayo Saka,Arsenal,eng ENG,FW,21,14,14,1171,4,6,1,3,0,4.5,2.9
Granit Xhaka,Arsenal,ch SUI,MF,30,14,14,1166,3,3,0,2,0,1.5,1.8
Ben White,Arsenal,eng ENG,DF,25,14,14,1150,0,2,0,3,0,0.3,1.1
Martin Ã˜degaard,Arsenal,no NOR,MF,23,13,13,1074,6,2,0,2,0,4.1,2.6
Thomas Partey,Arsenal,gh GHA,MF,29,11,11,959,2,0,0,1,0,1,0.6
Oleksandr Zinchenko,Arsenal,ua UKR,DF,25,7,7,559,0,1,0,0,0,0.1,0.4
Takehiro Tomiyasu,Arsenal,jp JPN,DF,24,11,4,410,0,0,0,1,0,0.1,0.1
Kieran Tierney,Arsenal,sct SCO,DF,25,12,3,354,0,0,0,0,0,0.3,0.1
Albert Sambi Lokonga,Arsenal,be BEL,MF,23,6,2,198,0,0,0,0,0,0,0
Fabio Vieira,Arsenal,pt POR,MF,22,8,1,246,1,1,0,0,0,0.3,1.1
Mohamed Elneny,Arsenal,eg EGY,MF,30,3,1,95,0,0,0,0,0,0,0
Eddie Nketiah,Arsenal,eng ENG,"FW,MF",23,12,0,152,0,0,0,0,0,0.7,0.2
Reiss Nelson,Arsenal,eng ENG,FW,22,2,0,65,2,1,0,0,0,0.6,0.1
Emile Smith Rowe,Arsenal,eng ENG,"MF,FW",22,4,0,51,0,0,0,0,0,0.1,0.3
Rob Holding,Arsenal,eng ENG,DF,27,4,0,14,0,0,0,0,0,0,0
Marquinhos,Arsenal,br BRA,MF,19,1,0,1,0,0,0,0,0,0,0
Ethan Nwaneri,Arsenal,eng ENG,FW,15,1,0,1,0,0,0,0,0,0,0
Karl Jakob Hein,Arsenal,ee EST,GK,20,0,0,,,,,,,,
Nicolas PÃ©pÃ©,Arsenal,ci CIV,"FW,MF",27,0,0,,,,,,,,
Matthew Smith,Arsenal,eng ENG,MF,22,0,0,,,,,,,,
Lino Sousa,Arsenal,eng ENG,DF,17,0,0,,,,,,,,
Matt Turner,Arsenal,us USA,GK,28,0,0,,,,,,,,
Squad Total,Arsenal,,,,14,154,1260,32,24,1,23,0,26.2,18.3
Ederson,Manchester-City,br BRA,GK,29,14,14,1260,0,1,0,0,0,0,0.2
JoÃ£o Cancelo,Manchester-City,pt POR,DF,28,14,14,1116,2,1,0,3,1,0.7,0.8
Kevin De Bruyne,Manchester-City,be BEL,MF,31,14,13,1131,3,9,0,0,0,2.5,6
Rodri,Manchester-City,es ESP,MF,26,13,13,1122,0,3,0,1,0,1.2,0.8
Bernardo Silva,Manchester-City,pt POR,"MF,FW",28,14,12,1068,2,5,0,1,0,1.3,1.8
Erling Haaland,Manchester-City,no NOR,FW,22,13,12,1037,18,3,3,2,0,11.1,2.8
Phil Foden,Manchester-City,eng ENG,"FW,DF",22,14,11,908,7,4,0,1,0,3.7,2
Ä°lkay GÃ¼ndoÄŸan,Manchester-City,de GER,MF,32,12,10,891,2,2,0,0,0,2.1,2.1
RÃºben Dias,Manchester-City,pt POR,DF,25,12,9,873,0,0,0,0,0,0.6,0.1
John Stones,Manchester-City,eng ENG,DF,28,9,8,731,0,2,0,1,0,0.4,1.3
Manuel Akanji,Manchester-City,ch SUI,DF,27,8,8,701,0,1,0,1,0,0.5,0.1
Nathan AkÃ©,Manchester-City,nl NED,DF,27,8,7,571,0,0,0,0,0,0.1,0.1
Kyle Walker,Manchester-City,eng ENG,DF,32,7,7,560,0,0,0,0,0,0.3,0.1
Jack Grealish,Manchester-City,eng ENG,FW,27,8,6,547,1,0,0,0,0,0.9,1.2
Riyad Mahrez,Manchester-City,dz ALG,"FW,MF",31,9,4,372,1,0,0,1,0,1.2,0.5
JuliÃ¡n Ãlvarez,Manchester-City,ar ARG,"FW,MF",22,12,3,364,3,0,0,0,0,1.3,0.4
Aymeric Laporte,Manchester-City,es ESP,DF,28,4,3,286,0,0,0,0,0,0.2,0.1
Sergio GÃ³mez,Manchester-City,es ESP,"DF,MF",22,5,0,111,0,1,0,0,0,0.1,0.4
Cole Palmer,Manchester-City,eng ENG,"FW,MF",20,7,0,106,0,0,0,0,0,0.1,0.1
Rico Lewis,Manchester-City,eng ENG,"DF,MF",18,3,0,38,0,0,0,0,0,0,0
Kalvin Phillips,Manchester-City,eng ENG,MF,26,1,0,2,0,0,0,0,0,0,0
Scott Carson,Manchester-City,eng ENG,GK,37,0,0,,,,,,,,
Liam Delap,Manchester-City,eng ENG,FW,19,0,0,,,,,,,,
Claudio Gomes,Manchester-City,fr FRA,MF,22,0,0,,,,,,,,
Ben Knight,Manchester-City,eng ENG,MF,20,0,0,,,,,,,,
Luke Mbete-Tatu,Manchester-City,eng ENG,DF,19,0,0,,,,,,,,
Stefan Ortega,Manchester-City,de GER,GK,30,0,0,,,,,,,,
Josh Wilson-Esbrand,Manchester-City,eng ENG,DF,19,0,0,,,,,,,,
Squad Total,Manchester-City,,,,14,154,1260,39,32,3,11,1,27.6,20.6
Nick Pope,Newcastle-United,eng ENG,GK,30,15,15,1350,0,0,0,2,0,0,0
Kieran Trippier,Newcastle-United,eng ENG,DF,32,15,15,1324,1,3,0,3,0,0.4,3.7
Miguel AlmirÃ³n,Newcastle-United,py PAR,FW,28,15,15,1255,8,1,0,0,0,4.6,1.1
Fabian SchÃ¤r,Newcastle-United,ch SUI,DF,30,14,14,1243,1,0,0,4,0,0.9,0.4
Dan Burn,Newcastle-United,eng ENG,DF,30,15,14,1224,0,0,0,2,0,0.4,0.1
Joe Willock,Newcastle-United,eng ENG,MF,23,15,13,1114,2,2,0,0,0,2.9,3.1
Joelinton,Newcastle-United,br BRA,"MF,FW",26,13,12,1060,1,1,0,5,0,2.3,0.9
Sven Botman,Newcastle-United,nl NED,DF,22,13,12,1057,0,0,0,0,0,0.3,0.9
Bruno GuimarÃ£es,Newcastle-United,br BRA,MF,25,12,12,992,3,2,0,1,0,0.8,1.3
Sean Longstaff,Newcastle-United,eng ENG,MF,25,15,11,1056,1,2,0,2,0,1.2,1.8
Callum Wilson,Newcastle-United,eng ENG,FW,30,11,10,787,6,2,1,1,0,6.1,0.6
Jacob Murphy,Newcastle-United,eng ENG,FW,27,15,5,489,1,1,0,0,0,0.8,0.6
Matt Targett,Newcastle-United,eng ENG,DF,27,10,4,426,0,0,0,0,0,0,0.3
Allan Saint-Maximin,Newcastle-United,fr FRA,FW,25,7,4,378,1,3,0,1,0,0.8,1.2
Ryan Fraser,Newcastle-United,sct SCO,FW,28,8,3,313,0,0,0,1,0,0.3,0.4
Alexander Isak,Newcastle-United,se SWE,FW,23,3,3,242,2,0,1,0,0,2.2,0.3
Chris Wood,Newcastle-United,nz NZL,FW,30,14,2,272,1,0,0,0,0,0.5,0.3
Jamaal Lascelles,Newcastle-United,eng ENG,DF,29,4,1,107,0,0,0,2,0,0.1,0
Elliot Anderson,Newcastle-United,sct SCO,"FW,MF",20,7,0,103,0,0,0,0,0,0.5,0.5
Jonjo Shelvey,Newcastle-United,eng ENG,MF,30,3,0,37,0,0,0,0,0,0,0
Javier Manquillo,Newcastle-United,es ESP,DF,28,1,0,11,0,0,0,0,0,0,0
Jamal Lewis,Newcastle-United,nir NIR,DF,24,1,0,8,0,0,0,0,0,0,0
Emil Krafth,Newcastle-United,se SWE,DF,28,1,0,1,0,0,0,0,0,0,0
Matt Ritchie,Newcastle-United,sct SCO,FW,33,1,0,1,0,0,0,0,0,0,0
Karl Darlow,Newcastle-United,eng ENG,GK,32,0,0,,,,,,,,
Martin DÃºbravka,Newcastle-United,sk SVK,GK,33,0,0,,,,,,,,
Paul Dummett,Newcastle-United,wls WAL,DF,31,0,0,,,,,,,,
Loris Karius,Newcastle-United,de GER,GK,29,0,0,,,,,,,,
Squad Total,Newcastle-United,,,,15,165,1350,28,17,2,24,0,24.3,17.1
Hugo Lloris,Tottenham-Hotspur,fr FRA,GK,35,15,15,1350,0,0,0,0,0,0,0
Harry Kane,Tottenham-Hotspur,eng ENG,FW,29,15,15,1335,12,1,2,4,0,9.4,2.4
Eric Dier,Tottenham-Hotspur,eng ENG,DF,28,15,14,1285,2,0,0,1,0,0.7,0.7
Pierre HÃ¸jbjerg,Tottenham-Hotspur,dk DEN,MF,27,14,14,1244,3,2,0,1,0,0.9,1.3
Rodrigo Bentancur,Tottenham-Hotspur,uy URU,MF,25,14,13,1182,4,2,0,5,0,1.4,0.8
Son Heung-min,Tottenham-Hotspur,kr KOR,"MF,FW",30,13,12,1030,3,2,0,0,0,3.5,2.7
Ben Davies,Tottenham-Hotspur,wls WAL,DF,29,12,11,995,2,1,0,1,0,0.5,1.3
Emerson,Tottenham-Hotspur,br BRA,DF,23,12,11,899,0,1,0,1,1,1,0.3
Ivan PeriÅ¡iÄ‡,Tottenham-Hotspur,hr CRO,"DF,MF",33,15,9,833,0,4,0,2,0,0.9,3
Ryan Sessegnon,Tottenham-Hotspur,eng ENG,DF,22,12,8,662,2,0,0,3,0,1.4,0.7
Cristian Romero,Tottenham-Hotspur,ar ARG,DF,24,8,7,658,0,0,0,1,0,0.6,0.3
Dejan Kulusevski,Tottenham-Hotspur,se SWE,"MF,FW",22,9,7,611,1,5,0,0,0,1,2.2
ClÃ©ment Lenglet,Tottenham-Hotspur,fr FRA,DF,27,8,7,571,0,1,0,0,0,0.6,0.4
Yves Bissouma,Tottenham-Hotspur,ml MLI,MF,26,14,6,606,0,0,0,3,0,0.2,0.2
Davinson SÃ¡nchez,Tottenham-Hotspur,co COL,DF,26,10,6,531,0,0,0,1,0,0.3,0.1
Richarlison,Tottenham-Hotspur,br BRA,"MF,FW",25,10,5,439,0,2,0,2,0,1.6,1.3
Matt Doherty,Tottenham-Hotspur,ie IRL,DF,30,8,3,351,0,0,0,0,0,0.2,0.1
Oliver Skipp,Tottenham-Hotspur,eng ENG,MF,22,6,2,130,0,0,0,1,0,0.1,0.2
Lucas Moura,Tottenham-Hotspur,br BRA,"MF,DF",30,8,0,98,0,0,0,0,0,0.1,0
Bryan,Tottenham-Hotspur,es ESP,MF,21,1,0,7,0,0,0,0,0,0,0
Djed Spence,Tottenham-Hotspur,eng ENG,"DF,MF",22,3,0,4,0,0,0,0,0,0.1,0
Fraser Forster,Tottenham-Hotspur,eng ENG,GK,34,0,0,,,,,,,,
Pape Matar Sarr,Tottenham-Hotspur,sn SEN,MF,20,0,0,,,,,,,,
Japhet Tanganga,Tottenham-Hotspur,eng ENG,DF,23,0,0,,,,,,,,
Harvey White,Tottenham-Hotspur,eng ENG,MF,21,0,0,,,,,,,,
Squad Total,Tottenham-Hotspur,,,,15,165,1350,29,21,2,26,1,24.1,17.8
David de Gea,Manchester-United,es ESP,GK,32,14,14,1260,0,0,0,0,0,0,0.1
Lisandro MartÃ­nez,Manchester-United,ar ARG,DF,24,14,14,1204,0,0,0,3,0,0.1,0
Bruno Fernandes,Manchester-United,pt POR,"MF,FW",28,13,13,1169,2,1,0,5,0,2,3.2
Diogo Dalot,Manchester-United,pt POR,DF,23,13,13,1165,0,1,0,5,0,0.6,1.3
Marcus Rashford,Manchester-United,eng ENG,FW,25,14,13,1126,4,2,0,1,0,4.2,2
Christian Eriksen,Manchester-United,dk DEN,MF,30,13,12,1043,1,4,0,1,0,2.4,1.8
Jadon Sancho,Manchester-United,eng ENG,FW,22,10,10,714,2,1,0,0,0,1.6,0.8
Luke Shaw,Manchester-United,eng ENG,DF,27,10,9,783,0,1,0,3,0,0.2,1.4
RaphaÃ«l Varane,Manchester-United,fr FRA,DF,29,10,8,684,0,0,0,1,0,0,0.1
Casemiro,Manchester-United,br BRA,MF,30,11,7,712,1,1,0,2,0,0.5,0.8
Scott McTominay,Manchester-United,sct SCO,MF,25,12,6,640,0,0,0,5,0,0.7,0.2
Tyrell Malacia,Manchester-United,nl NED,DF,23,9,6,567,0,0,0,2,0,0,0
Antony,Manchester-United,br BRA,"FW,MF",22,6,6,491,3,0,0,1,0,1.6,0.4
Anthony Elanga,Manchester-United,se SWE,FW,20,10,5,369,0,1,0,0,0,0.5,0.8
Cristiano Ronaldo,Manchester-United,pt POR,FW,37,10,4,525,1,0,0,2,0,1.9,0.4
Fred,Manchester-United,br BRA,MF,29,11,4,398,1,0,0,2,0,0.8,0.8
Victor LindelÃ¶f,Manchester-United,se SWE,DF,28,5,3,352,0,0,0,0,0,0,0
Harry Maguire,Manchester-United,eng ENG,DF,29,4,3,281,0,0,0,3,0,0.2,0
Anthony Martial,Manchester-United,fr FRA,"FW,MF",26,5,2,201,2,2,1,0,0,1.7,0.8
Donny van de Beek,Manchester-United,nl NED,MF,25,4,1,87,0,0,0,0,0,0,0
Alejandro Garnacho,Manchester-United,es ESP,FW,18,3,1,84,1,0,0,1,0,0.4,0
Aaron Wan-Bissaka,Manchester-United,eng ENG,DF,25,1,0,5,0,0,0,0,0,0,0
Nathan Bishop,Manchester-United,eng ENG,GK,23,0,0,,,,,,,,
Martin DÃºbravka,Manchester-United,sk SVK,GK,33,0,0,,,,,,,,
James Garner,Manchester-United,eng ENG,MF,21,0,0,,,,,,,,
Tom Heaton,Manchester-United,eng ENG,GK,36,0,0,,,,,,,,
Zidane Iqbal,Manchester-United,iq IRQ,MF,19,0,0,,,,,,,,
Matej Kovar,Manchester-United,cz CZE,GK,22,0,0,,,,,,,,
Kobbie Mainoo,Manchester-United,eng ENG,MF,17,0,0,,,,,,,,
Facundo Pellistri,Manchester-United,uy URU,FW,20,0,0,,,,,,,,
Shola Shoretire,Manchester-United,eng ENG,MF,18,0,0,,,,,,,,
Squad Total,Manchester-United,,,,14,154,1260,18,14,1,37,0,18.8,14.8
Alisson,Liverpool,br BRA,GK,30,14,14,1260,0,1,0,0,0,0,0.3
Virgil van Dijk,Liverpool,nl NED,DF,31,14,14,1260,1,0,0,1,0,1,0
Mohamed Salah,Liverpool,eg EGY,FW,30,14,14,1236,6,3,0,0,0,7,2.2
Trent Alexander-Arnold,Liverpool,eng ENG,DF,24,14,12,989,1,0,0,2,0,1.1,2.2
Fabinho,Liverpool,br BRA,MF,29,14,11,997,0,0,0,2,0,0.2,0.5
Roberto Firmino,Liverpool,br BRA,"FW,MF",31,13,11,929,7,3,0,0,0,4.2,1.8
Andrew Robertson,Liverpool,sct SCO,DF,28,12,10,861,0,4,0,0,0,0.4,2.4
Harvey Elliott,Liverpool,eng ENG,MF,19,14,10,859,1,1,0,0,0,1,2.2
Joe Gomez,Liverpool,eng ENG,DF,25,12,9,887,0,0,0,2,0,0.1,0.2
Thiago AlcÃ¡ntara,Liverpool,es ESP,MF,31,8,8,644,0,0,0,1,0,0.1,0.6
Jordan Henderson,Liverpool,eng ENG,MF,32,12,7,648,0,0,0,0,0,0.5,1
Luis DÃ­az,Liverpool,co COL,FW,25,8,7,613,3,2,0,2,0,1.7,1
Darwin NÃºÃ±ez,Liverpool,uy URU,FW,23,10,7,604,5,2,0,0,1,4.7,2.3
James Milner,Liverpool,eng ENG,"DF,MF",36,12,4,469,0,1,0,0,0,0.3,0.7
Kostas Tsimikas,Liverpool,gr GRE,DF,26,10,4,367,0,3,0,1,0,0.2,0.7
Fabio Carvalho,Liverpool,pt POR,"MF,FW",20,11,4,337,2,0,0,0,0,1.1,0.1
JoÃ«l Matip,Liverpool,cm CMR,DF,31,4,3,259,0,0,0,0,0,0,0
Diogo Jota,Liverpool,pt POR,"FW,MF",25,4,2,196,0,1,0,1,0,0.8,0.8
Curtis Jones,Liverpool,eng ENG,MF,21,4,1,172,0,0,0,0,0,0.2,0.2
Ibrahima KonatÃ©,Liverpool,fr FRA,DF,23,2,1,112,0,0,0,0,0,0,0
Nathaniel Phillips,Liverpool,eng ENG,DF,25,2,1,66,0,0,0,0,0,0,0
Alex Oxlade-Chamberlain,Liverpool,eng ENG,FW,29,3,0,32,0,0,0,0,0,0,0.1
Stefan Bajcetic,Liverpool,es ESP,MF,18,1,0,21,0,0,0,0,0,0,0
Bobby Clark,Liverpool,eng ENG,MF,17,1,0,8,0,0,0,0,0,0,0
AdriÃ¡n,Liverpool,es ESP,GK,35,0,0,,,,,,,,
Luke Chambers,Liverpool,eng ENG,DF,18,0,0,,,,,,,,
Harvey Davies,Liverpool,eng ENG,GK,19,0,0,,,,,,,,
Sepp van den Berg,Liverpool,nl NED,"DF,MF",20,0,0,,,,,,,,
Ben Doak,Liverpool,sct SCO,FW,17,0,0,,,,,,,,
Naby KeÃ¯ta,Liverpool,gn GUI,MF,27,0,0,,,,,,,,
CaoimhÃ­n Kelleher,Liverpool,ie IRL,GK,24,0,0,,,,,,,,
Arthur Melo,Liverpool,br BRA,MF,26,0,0,,,,,,,,
Calvin Ramsay,Liverpool,sct SCO,DF,19,0,0,,,,,,,,
Squad Total,Liverpool,,,,14,154,1260,26,21,0,12,1,24.2,19.1
Lewis Dunk,Brighton-and-Hove-Albion,eng ENG,DF,31,14,14,1260,0,0,0,0,0,0.7,0.1
Robert SÃ¡nchez,Brighton-and-Hove-Albion,es ESP,GK,25,14,14,1260,0,0,0,0,0,0,0
Alexis Mac Allister,Brighton-and-Hove-Albion,ar ARG,MF,23,14,14,1256,5,0,3,4,0,3.6,0.8
MoisÃ©s Caicedo,Brighton-and-Hove-Albion,ec ECU,MF,21,14,14,1245,1,0,0,4,0,0.8,0.8
Solly March,Brighton-and-Hove-Albion,eng ENG,"DF,FW",28,14,14,1214,0,2,0,1,0,2.6,1.3
Pascal GroÃŸ,Brighton-and-Hove-Albion,de GER,"MF,FW",31,14,14,1192,5,2,0,2,0,2.7,3.4
Leandro Trossard,Brighton-and-Hove-Albion,be BEL,"FW,MF",27,14,14,1174,7,2,0,1,0,4.3,1.9
Adam Webster,Brighton-and-Hove-Albion,eng ENG,DF,27,13,13,1170,0,0,0,1,0,1.2,0
Danny Welbeck,Brighton-and-Hove-Albion,eng ENG,FW,32,13,11,996,0,2,0,0,0,3,1.8
JoÃ«l Veltman,Brighton-and-Hove-Albion,nl NED,DF,30,13,11,947,0,0,0,1,0,0.5,0.2
Pervis EstupiÃ±Ã¡n,Brighton-and-Hove-Albion,ec ECU,DF,24,11,8,631,0,0,0,3,0,0.1,1.7
Adam Lallana,Brighton-and-Hove-Albion,eng ENG,"MF,FW",34,11,8,489,1,1,0,0,0,0.8,0.8
Kaoru Mitoma,Brighton-and-Hove-Albion,jp JPN,"FW,MF",25,9,2,314,1,1,0,0,0,0.2,2.2
Enock Mwepu,Brighton-and-Hove-Albion,zm ZAM,"FW,MF",24,6,2,213,0,1,0,0,0,0.2,0.5
Levi Colwill,Brighton-and-Hove-Albion,eng ENG,DF,19,3,1,103,0,0,0,0,0,0.2,0
Tariq Lamptey,Brighton-and-Hove-Albion,gh GHA,DF,22,11,0,188,0,0,0,1,0,0,0.1
Deniz Undav,Brighton-and-Hove-Albion,de GER,"FW,MF",26,8,0,101,0,0,0,0,0,0.6,0.2
Julio CÃ©sar Enciso,Brighton-and-Hove-Albion,py PAR,"MF,FW",18,2,0,80,0,0,0,1,0,0.3,0
Billy Gilmour,Brighton-and-Hove-Albion,sct SCO,MF,21,4,0,16,0,0,0,0,0,0,0
